modality,reference,model,tilt,MAE,MSE,PSNR,SSIM
faket,noiseless,4,25,0.34128118,0.12453414480157612,9.047115572764469,0.17325589
faket,noiseless,4,26,0.33764052,0.12220895634811323,9.128969647151681,0.1720416
faket,noiseless,4,27,0.3364909,0.12148478851498812,9.15478098012832,0.17117792
faket,noiseless,4,28,0.33471328,0.12032119838174202,9.196578512206347,0.1707139
faket,noiseless,4,29,0.33348355,0.11966979414519759,9.220154560389501,0.16881609
faket,noiseless,4,30,0.334216,0.12017290319711582,9.201934467975398,0.17108336
faket,noiseless,4,31,0.33389038,0.1191737046505789,9.2381955990575,0.18194538
faket,noiseless,4,32,0.33427006,0.1194133854814919,9.229469888270541,0.18171501
faket,noiseless,4,33,0.3341748,0.11936978941424756,9.231055722922045,0.18119045
faket,noiseless,4,34,0.33665836,0.12096243991370703,9.1734946167114,0.18228431
faket,noiseless,4,35,0.33841226,0.12209455957944551,9.133036873840783,0.18399277
faket,noiseless,4,36,0.3400705,0.12318252647938083,9.094508927542766,0.1841259
faket,noiseless,4,37,0.34362793,0.12548780202934423,9.013984874802233,0.18637547
faket,noiseless,4,38,0.34781045,0.12825392973992147,8.91929319095549,0.18817079
faket,noiseless,4,39,0.35137448,0.1306263976083671,8.83969049881869,0.19041592
faket,noiseless,4,40,0.35698086,0.13445821158064028,8.714126695637036,0.19313651
faket,noiseless,4,41,0.36051697,0.1369511833588196,8.634342107704791,0.19305322
faket,noiseless,4,42,0.36603427,0.14077142391554368,8.514854964392555,0.19703284
faket,noiseless,4,43,0.37157768,0.14471136330939682,8.394973650191563,0.19963235
faket,noiseless,4,44,0.32231805,0.11179450794508927,9.515795312235525,0.17547317
faket,noiseless,4,45,0.33098075,0.11725182897432566,9.30880374137297,0.17861524
faket,noiseless,4,46,0.33978668,0.12288586336302104,9.104980749374452,0.18286602
faket,noiseless,4,47,0.35015345,0.12972980001545573,8.86960251396886,0.18776807
faket,noiseless,4,48,0.36098284,0.13714515428758878,8.628195325971033,0.1929854
faket,noiseless,4,49,0.37285742,0.14557183358116202,8.369226477127041,0.1981057
faket,noiseless,4,50,0.38503122,0.15453395193811834,8.109760889287067,0.20311594
faket,noiseless,4,51,0.39735413,0.16394954423386068,7.852897862955885,0.2078366
faket,noiseless,4,52,0.37160096,0.1448366089420664,8.39121651867927,0.1920912
faket,noiseless,4,53,0.38619125,0.15559347152201672,8.08008629335049,0.19763742
faket,noiseless,4,54,0.4026437,0.1682440073616645,7.740603958475857,0.20521379
faket,noiseless,4,55,0.4193719,0.18165169700422817,7.407605405696149,0.21581465
faket,noiseless,4,56,0.40717137,0.1719809278101655,7.645197124300291,0.2036623
faket,noiseless,4,57,0.42716047,0.18833327955494966,7.250729309125705,0.21197413
faket,noiseless,4,58,0.44684672,0.2052924754709877,6.876269684146797,0.22102539
faket,noiseless,4,59,0.44625527,0.20491691378934399,6.884221935645382,0.21674329
faket,noiseless,4,60,0.46846592,0.22485863636163622,6.4809042741037075,0.2349622
shrec,noiseless,4,0,0.46398056,0.2234646276508326,6.507912118243157,0.20611937
shrec,noiseless,4,1,0.46395874,0.2231900900489135,6.51325092586697,0.2103923
shrec,noiseless,4,2,0.45851296,0.21777848956808943,6.619850186262697,0.2198124
shrec,noiseless,4,3,0.45487776,0.214535934779905,6.684999530385944,0.19872177
shrec,noiseless,4,4,0.45104825,0.21084769028551506,6.760311520678977,0.19900374
shrec,noiseless,4,5,0.4474184,0.2074246649861596,6.8313960266981795,0.2050462
shrec,noiseless,4,6,0.4437994,0.20413438461988423,6.900838360828629,0.19794211
shrec,noiseless,4,7,0.4405995,0.2009348068051916,6.969448263473852,0.21811377
shrec,noiseless,4,8,0.4385187,0.19919146364511717,7.007292772138165,0.20432828
shrec,noiseless,4,9,0.5093677,0.26557307407513464,5.7581595932425245,0.20734425
shrec,noiseless,4,10,0.50756496,0.2636157393794679,5.790286634195024,0.20690316
shrec,noiseless,4,11,0.5056626,0.2615990111608435,5.8236390196933305,0.21180335
shrec,noiseless,4,12,0.5054339,0.26124452159732026,5.829528081153397,0.21642008
shrec,noiseless,4,13,0.5028393,0.2586720382141484,5.872505148691721,0.20968604
shrec,noiseless,4,14,0.50282866,0.2585468899849708,5.874606819123688,0.20753571
shrec,noiseless,4,15,0.50077045,0.256338075446999,5.911868806344296,0.21627858
shrec,noiseless,4,16,0.49961245,0.2551726588133397,5.931658611523476,0.2150839
shrec,noiseless,4,17,0.49805886,0.25358552000322276,5.958755487486536,0.21303207
shrec,noiseless,4,18,0.49779904,0.2531077033691242,5.9669463682597605,0.22190504
shrec,noiseless,4,19,0.49569076,0.25125887710286626,5.998785854572861,0.21318129
shrec,noiseless,4,20,0.49634507,0.25165277039845707,5.991982841734985,0.22100246
shrec,noiseless,4,21,0.49563658,0.25102312876131316,6.002862616637885,0.21580291
shrec,noiseless,4,22,0.49511623,0.2505166428788391,6.011634168212976,0.21532679
shrec,noiseless,4,23,0.49426883,0.2496410744002164,6.026839569793086,0.21241294
shrec,noiseless,4,24,0.4945904,0.24995514537020386,6.021379187918196,0.21053144
shrec,noiseless,4,25,0.49427804,0.24962662469451516,6.027090955070537,0.21822548
shrec,noiseless,4,26,0.4933251,0.24863949644279904,6.044298824332948,0.21956825
shrec,noiseless,4,27,0.49328506,0.24862668457374948,6.044522612889047,0.2161198
shrec,noiseless,4,28,0.4936332,0.24914612486304225,6.035458633140575,0.20382035
shrec,noiseless,4,29,0.49319583,0.24854249399702488,6.045993480546384,0.22036095
shrec,noiseless,4,30,0.4929239,0.24828235679945712,6.0505414076311395,0.21869436
shrec,noiseless,4,31,0.49323827,0.24854482281025217,6.045952787867258,0.21626323
shrec,noiseless,4,32,0.4931903,0.2486120015180415,6.044779100175802,0.2097743
shrec,noiseless,4,33,0.49364954,0.24912328756429655,6.035856735556111,0.20755386
shrec,noiseless,4,34,0.49315715,0.24873366138582517,6.042654372275578,0.20005551
shrec,noiseless,4,35,0.49388957,0.24939005657292973,6.031208662608267,0.20804787
shrec,noiseless,4,36,0.49527043,0.25060432765829666,6.010114334939461,0.2259543
shrec,noiseless,4,37,0.4958045,0.2511838230461733,6.000083338361519,0.21956536
shrec,noiseless,4,38,0.49620193,0.25154973513474727,5.993761356213905,0.22293434
shrec,noiseless,4,39,0.49627912,0.25160350532911147,5.992833126127556,0.21892475
shrec,noiseless,4,40,0.49731967,0.252828580242454,5.971738341079648,0.19760835
